TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
EKTR3;30,01;16,46;5,31;1,88;0,55;25,38;21,62;12,26;3,01;5,03;1,88;1,17;0,65;7,28;-0,85;1,28;35,33;10,42;18,99;0,29;0,71;0,85;12,33;25,50;3.001,00;15,99;5,65;0,12;6.079.599.104,45
EKTR4;32,61;16,66;5,77;2,04;0,60;25,38;21,62;12,26;3,27;5,03;1,88;1,17;0,71;7,91;-0,93;1,28;35,33;10,42;18,99;0,29;0,71;0,85;12,33;25,50;94.992,79;15,99;5,65;0,13;6.079.599.104,45
ELET3;46,00;1,60;18,80;1,34;0,56;68,27;32,11;14,26;8,35;10,26;1,88;0,30;2,68;6,14;-0,72;1,71;7,15;2,98;6,39;0,42;0,58;0,21;-9,01;10,45;457.562.563,90;34,25;2,45;21,88;106.321.424.389,24
ELET5;62,46;3,29;25,52;1,82;0,76;68,27;32,11;14,26;11,33;10,26;1,88;0,30;3,64;8,34;-0,97;1,71;7,15;2,98;6,39;0,42;0,58;0,21;-9,01;10,45;6.450,00;34,25;2,45;29,71;106.321.424.389,24
ELET6;47,66;3,23;19,47;1,39;0,58;68,27;32,11;14,26;8,65;10,26;1,88;0,30;2,78;6,36;-0,74;1,71;7,15;2,98;6,39;0,42;0,58;0,21;-9,01;10,45;141.285.146,43;34,25;2,45;22,67;106.321.424.389,24
ELPL3;8,31;;1,18;0,95;0,05;20,36;14,20;6,64;0,55;2,80;2,24;3,86;0,08;2,14;-0,07;1,09;80,42;4,34;26,01;0,05;0,95;0,65;12,36;;;8,73;7,02;0,09;1.640.949.623,22
EMAE3;25,35;5,11;7,93;1,22;0,55;31,24;5,06;22,13;34,65;29,74;-13,67;-0,48;1,75;1,92;-0,84;5,67;15,38;6,93;0,30;0,45;0,55;0,31;20,69;16,54;;20,79;3,20;-0,15;1.173.482.833,50
EMAE4;36,00;3,96;11,26;1,73;0,78;31,24;5,06;22,13;49,20;29,74;-13,67;-0,48;2,49;2,73;-1,19;5,67;15,38;6,93;0,30;0,45;0,55;0,31;20,69;16,54;135.254,24;20,79;3,20;-0,21;1.173.482.833,50
ENBR3;22,18;9,89;5,80;1,15;0,36;24,72;22,66;11,65;2,98;5,47;2,49;0,96;0,68;3,35;-0,50;1,66;19,77;6,25;14,22;0,32;0,65;0,54;15,05;27,24;61.348.251,90;19,36;3,83;0,28;12.890.245.644,24
ENEV3;15,53;;20,78;1,81;0,93;38,42;33,00;22,27;14,02;16,95;2,93;0,38;4,63;7,28;-1,28;1,85;8,69;4,46;6,47;0,51;0,49;0,20;18,85;;96.992.163,00;8,60;0,75;1,83;24.602.112.096,77
ENGI11;43,17;7,78;6,42;1,80;0,30;24,82;20,32;9,78;3,09;6,83;3,74;2,17;0,63;7,70;-0,40;1,19;28,00;4,70;12,55;0,17;0,81;0,48;17,81;77,69;75.733.749,07;24,00;6,72;0,67;17.605.473.186,36
ENGI3;13,78;4,88;10,25;2,87;0,48;24,82;20,32;9,78;4,93;6,83;3,74;2,17;1,00;12,29;-0,64;1,19;28,00;4,70;12,55;0,17;0,81;0,48;17,81;77,69;132.667,81;4,80;1,34;1,07;17.605.473.186,36
